Shape_circ, Shape_eccent, Shape_e1, Shape_e2, Shape_corn, White_box, Black_box, Hu1, Hu2, Hu3, Hu4, Hu5, Hu6, Hu7
8.832457650145968397e-01,1.118449818076587610e+00,8.671028740537968815e+02,7.752720417487882969e+02,6.000000000000000000e+00,1.029300000000000000e+04,3.162000000000000000e+03,1.608611328085671199e-01,9.652394516595758209e-05,8.417820518769052765e-06,1.406341511724230723e-04,4.260546291072019820e-09,1.032976767252127828e-06,2.293807572374127982e-09
5.629419481531575897e+00,2.883361560991736017e+00,2.180153525189260108e+03,7.561152075702200364e+02,6.100000000000000000e+01,1.332800000000000000e+04,1.229100000000000000e+04,2.220698761636150653e-01,1.109872084516601298e-02,4.788550015856984053e-03,9.124876560789885746e-04,-1.966761447823184918e-07,-3.418061761399975935e-05,1.897236288103115827e-06
4.448605077592804768e+00,1.049426185011604229e+00,9.173307962776223121e+02,8.741260789747482249e+02,6.200000000000000000e+01,1.049600000000000000e+04,7.729000000000000000e+03,2.127732221763116716e-01,1.559841015864208780e-03,7.303628609659147978e-04,6.543871732861002502e-03,1.260529913826302097e-05,2.561373673271875786e-04,6.765439207800120959e-06
1.326597212550696625e+00,1.057411666502326986e+00,8.892156880897562132e+02,8.409361427144792742e+02,2.900000000000000000e+01,1.083500000000000000e+04,3.310000000000000000e+03,1.636142089613308315e-01,1.104479978719821829e-05,1.174926665545966970e-06,4.055909839840257138e-04,8.077376470656007030e-09,3.782587552885183581e-07,3.626112523261180306e-09
1.022637644465157036e+00,1.102271123802030406e+00,7.436136032946254772e+02,6.746195080659480254e+02,1.900000000000000000e+01,8.890000000000000000e+03,2.773000000000000000e+03,1.602642759747537893e-01,7.241113544282390293e-05,3.417592646090276357e-07,8.010398381856959527e-05,-4.131345634018408033e-10,6.806194009130039594e-07,7.059590628209738102e-11
1.340334624794489393e+00,1.230467069498418331e+00,7.969196343614423768e+02,6.476562064243579471e+02,2.400000000000000000e+01,8.938000000000000000e+03,4.437000000000000000e+03,1.631058811647913553e-01,2.852347024683523540e-04,1.076581677959012969e-04,1.721774297940593934e-04,-1.716740549619975626e-09,8.043739420039137173e-07,2.337868387899974103e-08
1.134242021878523632e+00,1.113339384714657765e+00,9.113226924837277920e+02,1.014611445726338843e+03,3.200000000000000000e+01,1.202500000000000000e+04,4.725000000000000000e+03,1.608967938245493556e-01,7.814783805345289647e-05,1.504438913847968121e-05,8.011527710114892619e-05,-2.668530784804258636e-09,3.305399073762812320e-07,7.842300340468668090e-10
1.224943875729453513e+00,1.156252773027201863e+00,1.003123978337212748e+03,8.675646032925131976e+02,2.500000000000000000e+01,1.167900000000000000e+04,4.059000000000000000e+03,1.631511973327050002e-01,1.694655114799885353e-04,8.796833489962229463e-07,3.164678773046598718e-04,4.231534312013925610e-09,2.585953878748080100e-06,3.158411323536224976e-09
9.965656594027703097e-01,1.066404410209982112e+00,6.354455052718252546e+02,6.776418892699849721e+02,1.600000000000000000e+01,8.228000000000000000e+03,2.276000000000000000e+03,1.643113592403462053e-01,8.093791133828339009e-05,1.259742999516407657e-05,5.114381225469698776e-04,3.588622253597722249e-08,4.204158200701633292e-06,1.993532139030562128e-08
1.409127781969569115e+00,1.359075240607213964e+00,1.229711153102692606e+03,9.048146242096769356e+02,3.800000000000000000e+01,1.312000000000000000e+04,6.882000000000000000e+03,1.700905331538724863e-01,8.857325496772782726e-04,1.427221481853454268e-06,8.458282230987058167e-04,-2.059412103495022831e-08,2.043117488614730655e-05,-2.096502813142561732e-08
1.106515355579732018e+00,1.188974928505130535e+00,5.800582900217256110e+02,6.896747639073894334e+02,2.400000000000000000e+01,7.927000000000000000e+03,3.097000000000000000e+03,1.608737516733072526e-01,2.047857360637943052e-04,8.636140498317095617e-06,7.852045236040496707e-05,1.828941486304926832e-09,8.278494852054198655e-07,-9.142519635209321890e-10
1.130062522888685139e+00,1.128052541948203480e+00,8.019439249702047618e+02,7.109100818878589507e+02,2.400000000000000000e+01,9.433000000000000000e+03,2.884000000000000000e+03,1.624706321575979939e-01,1.198398258467104911e-04,1.028300311877142185e-05,2.265626178093657628e-04,1.089365970473593709e-08,1.800667725644926329e-06,9.567586546347350513e-10
1.619397071061124960e+00,1.780736915810495979e+00,1.296643176340479158e+03,7.281497703720690424e+02,1.400000000000000000e+01,1.155900000000000000e+04,5.441000000000000000e+03,2.149055768370925490e-01,6.720707963468953300e-03,2.499284930476108977e-03,8.272703487360151542e-03,3.503233641592647411e-05,6.461798330925968420e-04,1.370185988976737683e-05
8.616991894362666660e-01,1.227378406457473758e+00,5.297217089399489396e+02,6.501689869846442207e+02,6.000000000000000000e+00,7.344000000000000000e+03,2.556000000000000000e+03,1.607434305854642809e-01,2.654947423031269686e-04,2.774811559621474547e-05,1.099996991522821519e-05,-1.538724633851908575e-10,-1.787369113395493985e-07,1.151334175655159673e-10
1.257585486037421152e+00,1.148264456613295792e+00,7.671785939583560321e+02,8.809239113169440998e+02,2.900000000000000000e+01,9.923000000000000000e+03,6.077000000000000000e+03,1.725565855910498325e-01,6.627203141556787906e-05,2.832088950322304215e-04,6.326230629997003094e-04,1.345930786066336525e-07,-3.021754247049120887e-07,-2.314918286669941131e-07
1.096039021168196959e+00,1.311771609049346310e+00,8.358148116496116700e+02,6.371648889819583701e+02,2.000000000000000000e+01,8.996000000000000000e+03,3.604000000000000000e+03,1.639463232989402663e-01,4.958098442320201709e-04,7.080253916448128108e-05,1.926263482907368429e-05,-6.909912308184322557e-10,2.924108938686132483e-07,-1.690680540958354836e-10
8.513188511223149790e-01,1.201419826978003647e+00,6.042181885625600444e+02,7.259197115597937682e+02,4.000000000000000000e+00,8.301000000000000000e+03,2.809000000000000000e+03,1.635659350094637310e-01,2.522361476843830897e-04,3.208174408188352393e-05,3.655566571975186357e-04,-1.603426787065826342e-08,3.204316480531795692e-06,-3.619521700494379436e-08
